Name,Address,Company,Signal Level,Frequency,Channel,Security,Cipher,BSS Type,WPS Support,Time,Longitude,Latitude,X,Y,Z
BPGC-NAB,A8:B4:56:CA:8F:40,"Cisco Systems, Inc",-89,2437,6,None,None,Infrastructure,No,11/02/2020 22:41:21,,,2,0,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-77,2462,11,None,None,Infrastructure,No,11/02/2020 22:41:21,,,2,0,0
BPGC-NAB,A8:B4:56:CC:DE:00,"Cisco Systems, Inc",-31,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,70:EA:1A:22:A0:20,"Cisco Systems, Inc",-40,2437,6,None,None,Infrastructure,No,12/02/2020 22:28:46,,,8,4,0
BPGC-NAB,70:EA:1A:22:97:80,"Cisco Systems, Inc",-58,2412,1,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,70:EA:1A:22:A5:A0,"Cisco Systems, Inc",-54,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,70:EA:1A:22:96:00,"Cisco Systems, Inc",-60,2412,1,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,70:EA:1A:22:87:60,"Cisco Systems, Inc",-57,2412,1,None,None,Infrastructure,No,12/02/2020 22:28:46,,,8,4,0
BPGC-NAB,70:EA:1A:22:A9:40,"Cisco Systems, Inc",-56,2462,11,None,None,Infrastructure,No,12/02/2020 22:28:45,,,8,4,0
BPGC-NAB,70:EA:1A:22:AC:00,"Cisco Systems, Inc",-65,2437,6,None,None,Infrastructure,No,12/02/2020 22:31:25,,,8,4,0
BPGC-NAB,70:EA:1A:22:98:20,"Cisco Systems, Inc",-53,2437,6,None,None,Infrastructure,No,12/02/2020 22:28:45,,,8,4,0
BPGC-NAB,00:A3:8E:60:F2:A0,"Cisco Systems, Inc",-67,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:45,,,8,4,0
BPGC-NAB,70:EA:1A:22:92:40,"Cisco Systems, Inc",-76,2412,1,None,None,Infrastructure,No,12/02/2020 22:26:46,,,8,4,0
BPGC-NAB,70:EA:1A:22:8F:E0,"Cisco Systems, Inc",-72,2437,6,None,None,Infrastructure,No,12/02/2020 22:31:25,,,8,4,0
BPGC-NAB,70:EA:1A:22:9B:80,"Cisco Systems, Inc",-64,2412,1,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,08:4F:A9:39:68:20,,-74,2437,6,None,None,Infrastructure,No,12/02/2020 22:30:46,,,8,4,0
CRT-MIFI,8C:21:A7:E1:4E:22,,-79,2427,4,WPA-PSK,CCMP,Infrastructure,No,12/02/2020 22:26:46,,,8,4,0
BPGC-NAB,70:EA:1A:22:96:A0,"Cisco Systems, Inc",-78,2412,1,None,None,Infrastructure,No,12/02/2020 22:28:46,,,8,4,0
bhikkhu,60:6D:C7:A3:30:E3,"Hon Hai Precision Ind. Co.,Ltd.",-81,2412,1,WPA-PSK + WPA2-PSK,TKIP + CCMP,Infrastructure,Yes,12/02/2020 22:26:46,,,8,4,0
BPGC-NAB,08:4F:A9:2D:8A:A0,,-82,2412,1,None,None,Infrastructure,No,12/02/2020 22:26:46,,,8,4,0
BPGC-NAB,08:4F:A9:30:00:00,,-69,2437,6,None,None,Infrastructure,No,12/02/2020 22:30:45,,,8,4,0
BPGC-NAB,08:4F:A9:39:68:40,,-76,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:45,,,8,4,0
BPGC-NAB,70:EA:1A:22:9F:80,"Cisco Systems, Inc",-87,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:45,,,8,4,0
BPGC-NAB,70:EA:1A:22:A9:A0,"Cisco Systems, Inc",-88,2437,6,None,None,Infrastructure,No,12/02/2020 22:26:46,,,8,4,0
BPGC-NAB,08:4F:A9:10:4B:80,,-74,2462,11,None,None,Infrastructure,No,12/02/2020 22:30:45,,,8,4,0
BPGC-NAB,70:EA:1A:22:9B:E0,"Cisco Systems, Inc",-75,2437,6,None,None,Infrastructure,No,12/02/2020 22:30:47,,,8,4,0
BPGC-NAB,A8:B4:56:CA:8F:40,"Cisco Systems, Inc",-86,2437,6,None,None,Infrastructure,No,12/02/2020 22:26:47,,,8,4,0
sks,88:63:DF:BB:74:A5,"Apple, Inc.",-81,2462,11,WPA2-PSK,CCMP,Infrastructure,No,12/02/2020 22:28:45,,,8,4,0
BPGC-NAB,00:A3:8E:4E:29:A0,"Cisco Systems, Inc",-80,2412,1,None,None,Infrastructure,No,12/02/2020 22:28:47,,,8,4,0
BPGC-NAB,08:4F:A9:2D:8A:40,,-76,2462,11,None,None,Infrastructure,No,12/02/2020 22:28:47,,,8,4,0
